"Country code","Country name","Series code","Series name","SCALE","Decimals","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"CPV","Cape Verde","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"14.51925","..","..","..","..","..","..","..","..","..","14.51925","..","..","..","..","..","..","..","..","..","..",".."
"CRI","Costa Rica","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"2.116565","..","..","..","..","..","..","..","..","..","2.116565","..","..","..","..","..","..","..","..","..","..",".."
"CUB","Cuba","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"12.668659999999999","..","..","..","..","..","..","..","..","..","12.668659999999999","..","..","..","..","..","..","..","..","..","..",".."
"CUW","Curacao","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"CYM","Cayman Islands","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"60.283830000000002","..","..","..","..","..","..","..","..","..","60.283830000000002","..","..","..","..","..","..","..","..","..","..",".."
"CYP","Cyprus","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"6.4210409999999998","..","..","..","..","..","..","..","..","..","6.4210409999999998","..","..","..","..","..","..","..","..","..","..",".."
"CZE","Czech Republic","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","..","..",".."
"DEU","Germany","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"4.9179820000000003","..","..","..","..","..","..","..","..","..","4.9179820000000003","..","..","..","..","..","..","..","..","..","..",".."
"DJI","Djibouti","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"2.5642160000000001","..","..","..","..","..","..","..","..","..","2.5642160000000001","..","..","..","..","..","..","..","..","..","..",".."
"DMA","Dominica","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"9.4041540000000001","..","..","..","..","..","..","..","..","..","9.4041540000000001","..","..","..","..","..","..","..","..","..","..",".."
"DNK","Denmark","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"17.668189999999999","..","..","..","..","..","..","..","..","..","17.668189999999999","..","..","..","..","..","..","..","..","..","..",".."
"DOM","Dominican Republic","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"4.1391390000000001","..","..","..","..","..","..","..","..","..","4.1391390000000001","..","..","..","..","..","..","..","..","..","..",".."
"DZA","Algeria","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0.35138180000000002","..","..","..","..","..","..","..","..","..","0.35138180000000002","..","..","..","..","..","..","..","..","..","..",".."
"EAP","East Asia & Pacific","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"2.46469755103448","..","..","..","..","..","..","..","..","..","2.4526517958921898","..","..","..","..","..","..","..","..","..","..",".."
"ECA","Europe & Central Asia","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"1.4425766449758599","..","..","..","..","..","..","..","..","..","2.4905122747152699","..","..","..","..","..","..","..","..","..","..",".."
"ECU","Ecuador","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"2.036756","..","..","..","..","..","..","..","..","..","2.036756","..","..","..","..","..","..","..","..","..","..",".."
"EGY","Egypt, Arab Rep.","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"4.0483820000000001","..","..","..","..","..","..","..","..","..","4.0483820000000001","..","..","..","..","..","..","..","..","..","..",".."
"EMU","Euro area","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"3.6018206219004201","..","..","..","..","..","..","..","..","..","3.5666142463225801","..","..","..","..","..","..","..","..","..","..",".."
